POINT (-71.646305 48.510012),Alpha
POINT (-71.631752 48.506095),Bravo
POINT (-71.635096 48.496972),Charlie
POINT (-71.643231 48.515011),Delta
POINT (-71.6407195 48.5029013),Echo
POINT (-71.634186 48.508072),Foxtrot
POINT (-71.6459941 48.5079538),Golf
POINT (-71.642601 48.512992),Hotel
POINT (-71.643298 48.511464),India
POINT (-71.6491457 48.5133384),Juliette
POINT (-71.633141 48.499458),Kilo
POINT (-71.626592 48.504977),Lima
POINT (-71.65131 48.51409),Mike
POINT (-71.641643 48.507877),November
POINT (-71.641327 48.514158),Oscar
POINT (-71.629971 48.503998),Papa
POINT (-71.641189 48.5069),Quebec
POINT (-71.635331 48.505351),Point 18
POINT (-71.6372898 48.5125668),Romeo
POINT (-71.646339 48.504569),Sierra
POINT (-71.651899 48.512783),Tango
POINT (-71.632982 48.494317),Uniform
POINT (-71.625827 48.50901),Victor
POINT (-71.629868 48.506956),Whiskey
POINT (-71.639107 48.508981),Xray
POINT (-71.625435 48.507311),Yankee
POINT (-71.6469554 48.5149672),Zulu
